ean,sku,quantity,price,condition,notes,seller
9781259675782,20qweqwe-D-002936,2,0.80,Acceptable,"A book with obvious wear. May have some damage to the cover or binding but integrity is still intact. There might be writing in the margins, possibly underlining and highlighting of text, but no missing pages or anything that would compromise the legibility or understanding of the text.",Goodwill Central Texas
9780077433536,BOS-xczxczxaS-Young Adult-0599,3,0.95,Good,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780816015436,110qwezzxc1-BOS-S-Young Adult-0599,3,11.95,Like New,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780944589250,11zxcxcq11-BOS-S-Young Adult-0599,3,13.95,Acceptable,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780440061625,112-zxczxcBOS-S-Young Adult-0599,3,5.95,Very Good,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780077433512,11qweqw3-BOS-S-Young Adult-0599,3,10.95,New,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780394822594,114-BOS-Szxczxcqwe-Young Adult-0599,3,20.95,Like New,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780077438876,115-BOS-S-Youxcxasdqwng Adult-0599,3,18.95,Acceptable,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780077377625,zxcasqwe-BOS-S-Young Adult-0599,3,16.95,New,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780072950564,117-xcxzczxasd-S-Young Adult-0599,3,19.95,Very Good,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9781571100528,118qweqwzvbgg-BOS-S-Young Adult-0599,3,10.95,Good,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780072885057,1qweqwexzgqer19-BOS-S-Young Adult-0599,3,11.95,Acceptable,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780205910106,qwexxv-BOS-S-Young Adult-0599,3,12.95,Very Good,"purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
