ean,sku,quantity,price,condition,notes,seller
9780813609775,388907,2,5.27,New,Children's Readers. NEW. Stored in sealed plastic protection. No pricing stickers. No remainder mark. No previous owner's markings. In the event of a problem we guarantee full refund. 1901 Children's Readers.,BookZoneUSA
9781877678066,S-35295,2,4.49,New,Trade paperback. NEW. Stored in sealed plastic protection. No pricing stickers. No remainder mark. No previous owner's markings. In the event of a problem we guarantee full refund. 1997 Trade paperback.,BookZoneUSA
9780375838972,BOS-E-10d-00085,1,0.77,Acceptable,,More Than Words
9780852291634,26-A-0093,1,2.75,Good,Prompt shipping. No Dust Jacket Cover has some wear from use. Hardcover Used - Good.,Opportunity House
9780132890410,BZ-CHDM-352-04793:BIG,9,45.50,Acceptable,Book is worn. Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9781462513673,1000004999067-6084,1,75.22,New,Ships same or next business day with delivery confirmation. Brand New. Expedited shipping available.,Tree of Life Books
9780671523077,BOS-E-10g-00062,1,0.47,Acceptable,,More Than Words
9780821722374,511844,1,4.73,Very Good,"Mass Market pb. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. Very slight spine creasing. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1987. Mass Market pb.",BookZoneUSA
9780684838267,BOS-D-04f-00318,1,0.01,Good,"A sound copy with only light wear. Overall a solid copy at a great price! All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780262028363,BOS-F-13a-00185,17,1.88,Like New,"purchase supports More Tha
n Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780151119325,BOS-E-10g-00065,1,1.52,Good,,More Than Words
9780736075374,KCC-LWT-189-12445:BIG,4,41.88,Good,Unused and clean copy!,BBA Corporation
9780415772860,KCC-LWT-206-09663:RN,1,46.02,Good,Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9780195212709,357458,1,14.00,Like New,Oversize Hardcover with DJ. Like new; no internal markings; has only lost its Brand New shine. No pricing stickers. No remainder mark. DJ is nearly fine. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1997. Oversize Hardcover with DJ.,BookZoneUSA
9781506347493,1000005034588-8160,1,100.55,New,Ships same or next business day with delivery confirmation. Brand New. Expedited shipping available.,Tree of Life Books
9781462506460,KCC-LWT-206-09712:RN,1,44.58,Good,Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9780739903957,J-05-0876,1,9.09,Acceptable,"Paperback The item is fairly worn but still readable. Signs of wear include aesthetic issues such as scratches, worn covers, damaged binding. The item may have identifying markings on it or show other signs of previous use. May have page creases, creased spine, bent cover or markings inside. Packed with care, shipped promptly.",St Vincent De Paul
9780538487931,BZ-551-04804:CODE,6,49.95,New,Unused and clean copy!,BBA Corporation
9781441305602,11-D-4-0467,1,8.64,Good,Goodwill helps change lives through the power of work,Goodwill San Antonio
9780199873609,KCC-LWT-220-07563:BIG,1,30.78,Good,Book shows some wear. Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9780061173837,243502,1,9.50,Very Good,"Hardcover w / dustjacket. . Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. DJ is very good. Short closed tear at heel of spine/front cover. Poetry 032810. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 2007. Hardcover w / dustjacket.",BookZoneUSA
9780312317973,5-B-0052,1,2.15,Very Good,Prompt shipping. Dust jacket lightly shelf worn. Light tanning on inside cover. Pages unmarked and in very good condition. Hardcover Used - Very Good.,Opportunity House
9780696023941,901057,1,5.49,New,Hardcover no dj. NEW. Stored in sealed plastic protection. No pricing stickers. No remainder mark. No previous owner's markings. In the event of a problem we guarantee full refund. 1994. Hardcover no dj.,BookZoneUSA
9781410917003,J-05-0902,2,8.82,Very Good,"Paperback A well-cared-for item that has seen limited use but remains in very good condition. The item is complete, and without noticable damage. It may have limited signs of use. Packed with care, shipped promptly.",St Vincent De Paul
9780778804178,BOS-M-02b-00073,1,2.93,Good,,More Than Words
9780853403036,245496,1,5.49,Very Good,"Hardcover w / dustjacket. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. DJ is Very Good; light edgewear. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1980. Hardcover w / dustjacket.",BookZoneUSA
9780985894603,WAL-F-0d-000520,1,2.66,Very Good,"A bright, square, and overall a nice copy All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9781450477673,057-021110,1,95.81,Good,"Marks in Pen. May have notes, highlighting, wear and tear. Supplements not guaranteed. Please contact us if you have any questions.",PennText
9780818906664,S-35306,1,4.85,New,Trade paperback. NEW. Stored in sealed plastic protection. No pricing stickers. No remainder mark. No previous owner's markings. In the event of a problem we guarantee full refund. 1996 Trade paperback.,BookZoneUSA
9780812968972,BOS-D-06b-0444,1,0.05,Good,"A sound copy with only light wear. Overall a solid copy at a great price! All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780070095106,223219,1,10.00,Like New,Hardcover no dj. Like new; no internal markings; has only lost its Brand New shine. No pricing stickers. No remainder mark. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1979. Hardcover no dj.,BookZoneUSA
9780262017152,BOS-A-02c-00637,5,19.19,Like New,"Book appears unread. Book is square, clean, and umarked, with crisp pages All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780803261037,245978,1,10.57,Very Good,"Trade paperback. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. English History 692010. Slight rubbing wear. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1989. Trade paperback.",BookZoneUSA
9780517228005,901061,1,5.49,Like New,Hardcover w / dustjacket. NEW unread copy in nearly fine dj. DJ is nearly fine. Stored in sealed plastic protection. No pricing stickers. No remainder mark. No previous owner's markings. In the event of a problem we guarantee full refund. 2005 Hardcover w / dustjacket.,BookZoneUSA
9780321696854,1000005174582-5129,1,168.96,Acceptable,minor water damage Ships same or next business day with delivery confirmation. Acceptable condition. Contains highlighting. Expedited shipping available.,Tree of Life Books
9781592237951,246394,1,46.53,Like New,Oversize Hardcover no DJ. Like new; no internal markings; has only lost its Brand New shine. No pricing stickers. No remainder mark. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 2009. Oversize Hardcover no DJ.,BookZoneUSA
9780521607339,X-006-0765,1,4.99,Good,"Paperback This item shows wear from consistent use but remains in good readable condition. It may have marks on or in it, and may show other signs of previous use or shelf wear. May have minor creases or signs of wear on dust jacket. Packed with care, shipped promptly.",St Vincent De Paul
9781581178678,246868,1,4.40,Very Good,"Board Book. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 2009. Board Book.",BookZoneUSA
9780687075324,201296,1,4.49,Very Good,"Trade paperback. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1999. Trade paperback.",BookZoneUSA
9781602680821,E-01-0429,1,2.47,Good,"Paperback This item shows wear from consistent use but remains in good readable condition. It may have marks on or in it, and may show other signs of previous use or shelf wear. May have minor creases or signs of wear on dust jacket. Packed with care, shipped promptly.",St Vincent De Paul
9780871502780,R-06-0957,1,4.99,Acceptable,"Paperback The item is fairly worn but still readable. Signs of wear include aesthetic issues such as scratches, worn covers, damaged binding. The item may have identifying markings on it or show other signs of previous use. May have page creases, creased spine, bent cover or markings inside. Packed with care, shipped promptly.",St Vincent De Paul
9781451639742,SWM-PFE-003-702:SWM,2,98.95,Good,Reprint. Used books are NOT guaranteed to contain components and/or supplements such as: Access Codes or working CD's/DVD's! Ships fast! Expedited shipping 2-4 business days; Standard shipping 7-14 business days. Ships from USA!,Texas Enterprise
9780618618026,BZ-MBU-297-02355:BIG,1,4.95,Good,Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9780345475800,MC-000-388:MCOS,14,2.62,Good,Reprint. Used books are NOT guaranteed to contain components and/or supplements such as: Access Codes or working CD's/DVD's! Ships fast! Expedited shipping 2-4 business days; Standard shipping 7-14 business days. Ships from USA!,Texas Enterprise
9781851703623,247205,1,5.49,Very Good,"Hardcover w / dustjacket. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. DJ is Very Good; light edgewear. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1991. Hardcover w / dustjacket.",BookZoneUSA
9780974406909,R-06-0997,1,4.96,Good,"Hardcover This item shows wear from consistent use but remains in good readable condition. It may have marks on or in it, and may show other signs of previous use or shelf wear. May have minor creases or signs of wear on dust jacket. Packed with care, shipped promptly.",St Vincent De Paul
9780811877077,247482,1,5.96,Like New,Trade paperback. Like new; no internal markings; has only lost its Brand New shine. No pricing stickers. No remainder mark. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 2010. Trade paperback.,BookZoneUSA
9780811831987,249560,1,20.07,Like New,Hardcover w / dustjacket. Like new; no internal markings; has only lost its Brand New shine. No pricing stickers. No remainder mark. DJ is Like New. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 2001. Hardcover w / dustjacket.,BookZoneUSA
9780470887578,BZ-ZVT-149-12016:BIG,2,104.00,Good,Book is in very good condition. Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9780071434997,WAL-A-0e-000434,1,0.84,Acceptable,"Former Library book. The book is a readable copy showing signs of wear and the pages are intact. The cover may have some creases or minor tears. The dust jacket (if applicable) may be missing. The book may be an ex-library book. The book may contain: a publisher remainder mar All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9781402253461,BZ-OPB-173-04297:Q0,29,4.95,Good,Used books cannot guarantee unused access codes or working CD's!,BBA Corporation
9780679442653,248643,1,32.73,Very Good,"Overweight Hardcover with DJ. . Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. DJ is very good. Cultural Anthropology 1068. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1999. Overweight Hardcover with DJ.",BookZoneUSA
9780713653861,BOS-G-06f-00510,1,0.48,Good,,More Than Words
9780786811359,BOS-G-06g-00355,1,0.55,Acceptable,,More Than Words
9780525242673,BOS-A-09f-0000107,1,1.52,Good,,More Than Words
9780853722588,BOS-B-13a-00098,1,1.37,Good,,More Than Words
9781930110885,WAL-L-0b-000398,1,0.77,Acceptable,"The book is a readable copy showing signs of wear and the pages are intact. The cover may have some creases or minor tears. The dust jacket (if applicable) may be missing. The book may be an ex-library book. The book may contain: a publisher remainder mar All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780719042362,26-C-0034,1,2.50,Good,Prompt shipping. Former library book with library markings. Cover lightly worn from use. Paperback Used - Good.,Opportunity House
9780143038412,055-028206,2,1.40,Good,"May have notes, highlighting, wear and tear. Supplements not guaranteed. Please contact us if you have any questions.",PennText
9781596435841,WAL-I-3b-000455,1,0.48,Good,"Former Library book. A sound copy with only light wear. Overall a solid copy at a great price! All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780486288048,WAL-I-5b-000310,1,9.31,Good,A sound copy with only light wear. Overall a solid copy at a great price!,More Than Words
9780486255637,1000004669916-599,63,3.46,Good,Ships same or next business day with delivery confirmation. Good condition. May or may not contain highlighting. Expedited shipping available.,Tree of Life Books
9780132591935,D-04-0678,1,2.47,Good,"Textbook Binding This item shows wear from consistent use but remains in good readable condition. It may have marks on or in it, and may show other signs of previous use or shelf wear. May have minor creases or signs of wear on dust jacket. Packed with care, shipped promptly.",St Vincent De Paul
9781593402051,29-E-0053,1,2.15,Acceptable,Prompt shipping. Cover worn from use. Scuffing along edges of book. Board book Used - Acceptable.,Opportunity House
9781607056768,34-A-0157,1,2.87,Very Good,Prompt shipping. Cover lightly worn from use. Paperback Used - Very Good.,Opportunity House
9781560062516,BOS-F-01c-00641,1,7.28,Good,"purchase supports More Tha
n Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780307264558,JER-000608358,2,2.41,Good,,Goodwill NY NJ
9780684160689,703568,1,5.79,Very Good,"Hardcover w / dustjacket. Very good condition; edges, corners, and covers of book show minor wear. No underlining; no highlighting; no internal markings. DJ is Very Good; light edgewear, priceclipped. Stored in sealed plastic protection. In the event of a problem we guarantee full refund. 1984. Hardcover w / dustjacket.",BookZoneUSA
9780671034009,WAL-J-5e-000340,1,0.45,Acceptable,"The book is a readable copy showing signs of wear and the pages are intact. The cover may have some creases or minor tears. The dust jacket (if applicable) may be missing. The book may be an ex-library book. The book may contain: a publisher remainder mar All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780896220867,WAL-A-7c-000147,1,1.91,Good,"A sound copy with only light wear. Overall a solid copy at a great price! All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9781416983118,WAL-B-4f-000475,1,0.75,Very Good,"A bright, square, and overall a nice copy All orders guaranteed and ship within 24 hours. Your purchase supports More Than Words, a nonprofit job training program for youth, empowering youth to take charge of their lives by taking charge of a business.",More Than Words
9780385532457,JER-000611786,1,2.41,Good,,Goodwill NY NJ
